log_id,district,crop_type,growth_stage,kc_value,t_max_c,t_min_c,solar_rad_mjm2,et0_mm_day,crop_water_need_mm_day,rain_7d_mm,effective_rain_mm,recommended_irrigation_mm_week,recommended_irrigation_liters_acre,n_deficit_kg_acre,p_deficit_kg_acre,k_deficit_kg_acre,urea_kg_acre,dap_kg_acre,mop_kg_acre
677,Trichy,Turmeric,Development,0.68,30.7,24.5,21.2,5.51,3.72,12.8,12.5,13.5,54684.0,0.0,15.9,24.2,0.0,34.5,40.4
678,Tirunelveli,Turmeric,Mid-season,1.05,31.9,22.3,10.1,3.25,3.42,1.8,1.8,22.1,89578.0,36.4,23.1,0.0,79.2,50.3,0.0
679,Nilgiris,Sunflower,Development,0.75,34.5,28.0,17.2,4.95,3.72,4.8,4.8,21.2,85847.0,0.0,24.5,0.0,0.0,53.2,0.0
680,Coimbatore,Onion,Development,0.88,34.5,25.8,16.7,5.43,4.75,0.6,0.6,32.6,131926.0,36.3,51.7,0.0,78.9,112.5,0.0
681,Nagapattinam,Onion,Initial,0.7,34.4,26.0,21.1,6.78,4.74,13.7,13.4,19.8,80028.0,45.5,36.5,0.0,98.8,79.4,0.0
682,Kovilpatti,Sugarcane,Late-season,1.0,35.2,26.0,18.9,6.38,6.38,15.0,14.6,30.0,121407.0,18.2,18.9,0.0,39.6,41.0,0.0
683,Trichy,Groundnut,Development,0.75,30.5,21.7,15.1,4.54,3.41,3.7,3.6,20.2,81787.0,44.3,41.5,0.0,96.4,90.2,0.0
684,Coimbatore,Rice,Late-season,1.05,36.5,28.7,18.0,5.84,6.14,18.8,18.2,24.7,100067.0,37.0,36.8,0.0,80.4,80.0,0.0
685,Nagapattinam,Sugarcane,Mid-season,1.25,34.0,25.2,15.4,4.97,6.21,3.4,3.4,40.1,162445.0,0.0,36.1,68.6,0.0,78.5,114.3
686,Nilgiris,Sugarcane,Development,0.82,31.3,23.7,14.5,4.18,3.45,13.8,13.5,10.6,43010.0,2.2,33.7,0.0,4.7,73.3,0.0
687,Vellore,Cotton,Initial,0.35,33.4,24.5,16.0,5.12,1.79,0.4,0.4,12.1,49102.0,35.3,45.6,0.0,76.8,99.1,0.0
688,Tirunelveli,Coconut,Development,1.0,39.3,30.5,22.0,7.88,7.88,2.8,2.8,52.4,211882.0,17.8,52.4,0.0,38.7,113.8,0.0
689,Kovilpatti,Chili,Mid-season,1.05,34.9,24.9,19.2,6.66,7.0,2.1,2.1,46.8,189505.0,0.0,36.8,0.0,0.0,80.1,0.0
690,Tirunelveli,Coconut,Initial,1.0,23.9,16.3,19.6,4.72,4.72,1.8,1.8,31.3,126544.0,61.8,45.9,0.0,134.2,99.8,0.0
691,Krishnagiri,Rice,Development,1.12,38.3,28.6,27.4,10.05,11.3,6.4,6.3,72.8,294709.0,45.7,42.3,0.0,99.2,92.0,0.0
692,Thanjavur,Banana,Mid-season,1.1,31.5,24.4,15.8,4.46,4.91,10.3,10.2,24.2,97813.0,0.0,24.3,0.0,0.0,52.8,0.0
693,Madurai,Chili,Initial,0.6,29.5,21.7,15.5,4.33,2.6,7.9,7.8,10.4,42102.0,6.0,48.5,0.2,13.0,105.5,0.4
694,Coimbatore,Sunflower,Mid-season,1.15,34.9,27.1,13.7,4.3,4.95,2.4,2.4,32.2,130466.0,42.5,43.8,0.0,92.4,95.3,0.0
695,Tirunelveli,Maize,Initial,0.3,31.5,23.1,16.2,4.87,1.46,8.3,8.2,2.0,8283.0,41.8,19.6,0.0,90.9,42.7,0.0
696,Madurai,Pulses,Mid-season,1.1,30.0,24.0,19.1,4.82,5.31,0.4,0.4,36.8,148890.0,76.9,33.9,0.0,167.2,73.7,0.0
697,Madurai,Banana,Late-season,1.05,33.3,24.3,14.5,4.65,4.89,6.5,6.4,27.8,112331.0,23.2,22.8,0.0,50.5,49.5,0.0
698,Trichy,Coconut,Late-season,1.0,32.8,25.9,21.1,6.0,6.0,2.6,2.6,39.4,159632.0,38.8,53.1,23.0,84.3,115.5,38.3
699,Thanjavur,Sugarcane,Development,0.82,34.2,27.5,18.9,5.47,4.52,3.5,3.5,28.1,113684.0,29.0,17.0,0.0,63.0,37.0,0.0
700,Madurai,Groundnut,Development,0.75,36.0,28.1,16.8,5.4,4.05,1.3,1.3,27.1,109718.0,57.4,17.5,22.7,124.7,38.1,37.9
701,Nilgiris,Rice,Mid-season,1.2,36.2,29.7,20.4,6.04,7.25,5.6,5.6,45.2,182833.0,0.0,22.4,0.0,0.0,48.7,0.0
702,Nilgiris,Millets,Mid-season,1.0,38.8,29.5,16.4,5.97,5.97,0.5,0.5,41.3,167024.0,0.0,41.9,8.7,0.0,91.0,14.5
703,Kovilpatti,Sorghum,Development,0.68,34.1,27.5,13.8,3.97,2.68,1.2,1.1,17.6,71205.0,18.5,20.9,0.0,40.3,45.3,0.0
704,Nagapattinam,Pulses,Development,0.75,31.2,23.7,12.5,3.58,2.68,2.2,2.2,16.6,67100.0,34.3,20.3,0.0,74.5,44.0,0.0
705,Coimbatore,Sugarcane,Late-season,1.0,33.1,25.2,18.9,5.73,5.73,4.1,4.1,36.0,145609.0,0.0,19.5,0.0,0.0,42.4,0.0
706,Coimbatore,Onion,Initial,0.7,35.4,27.8,17.0,5.3,3.71,3.2,3.2,22.8,92196.0,0.0,25.8,0.0,0.0,56.2,0.0
707,Trichy,Rice,Initial,1.05,29.3,22.5,21.9,5.73,6.01,22.0,21.3,20.8,84346.0,10.2,26.5,0.0,22.1,57.6,0.0
708,Nilgiris,Rice,Mid-season,1.2,31.7,22.6,26.3,8.23,9.87,1.8,1.8,67.3,272428.0,0.0,23.7,0.0,0.0,51.6,0.0
709,Nilgiris,Coconut,Late-season,1.0,34.6,25.3,15.6,5.21,5.21,6.6,6.5,29.9,121176.0,55.1,33.1,0.0,119.8,72.1,0.0
710,Tirunelveli,Pulses,Development,0.75,30.1,21.8,12.8,3.71,2.78,5.7,5.6,13.9,56095.0,2.4,23.7,0.0,5.2,51.5,0.0
711,Coimbatore,Cotton,Late-season,0.92,32.8,25.2,20.4,6.06,5.61,15.0,14.6,24.6,99573.0,0.0,50.3,0.0,0.0,109.3,0.0
712,Trichy,Millets,Mid-season,1.0,30.5,21.3,15.9,4.85,4.85,0.0,0.0,33.9,137266.0,25.6,25.2,21.3,55.6,54.9,35.5
713,Vellore,Maize,Initial,0.3,31.9,23.0,19.0,5.89,1.77,0.6,0.6,11.8,47599.0,4.8,21.9,0.0,10.4,47.7,0.0
714,Vellore,Maize,Development,0.75,29.7,22.9,18.4,4.85,3.63,12.2,12.0,13.5,54472.0,0.0,12.1,0.0,0.0,26.2,0.0
715,Tirunelveli,Pulses,Initial,0.4,34.3,27.3,21.6,6.4,2.56,9.3,9.2,8.7,35403.0,24.0,41.2,0.0,52.3,89.5,0.0
716,Trichy,Sunflower,Initial,0.35,32.1,25.8,20.6,5.56,1.95,0.0,0.0,13.6,55059.0,25.8,24.9,0.0,56.0,54.1,0.0
717,Kovilpatti,Sugarcane,Late-season,1.0,34.6,27.3,17.0,5.18,5.18,1.5,1.5,34.7,140438.0,20.9,29.6,0.0,45.4,64.4,0.0
718,Nagapattinam,Sugarcane,Development,0.82,26.8,18.0,19.2,5.27,4.34,11.7,11.5,18.9,76593.0,0.0,34.5,0.0,0.0,74.9,0.0
719,Madurai,Onion,Mid-season,1.05,30.5,23.5,17.8,4.84,5.08,12.0,11.7,23.8,96345.0,0.0,21.9,1.5,0.0,47.7,2.6
720,Coimbatore,Banana,Development,0.8,27.7,19.1,21.0,5.86,4.69,11.6,11.4,21.4,86769.0,0.0,38.7,4.4,0.0,84.2,7.4
721,Nilgiris,Onion,Mid-season,1.05,33.6,26.0,21.9,6.62,6.95,3.6,3.6,45.0,182225.0,0.0,13.8,0.1,0.0,30.1,0.1
722,Coimbatore,Onion,Development,0.88,31.5,22.7,18.3,5.62,4.92,15.1,14.7,19.7,79858.0,31.9,35.7,59.3,69.3,77.7,98.8
723,Nagapattinam,Turmeric,Mid-season,1.05,32.8,26.5,22.4,6.14,6.45,6.6,6.5,38.6,156315.0,70.2,46.1,0.0,152.6,100.3,0.0
724,Kovilpatti,Sugarcane,Development,0.82,36.6,29.8,19.4,5.94,4.9,2.4,2.4,31.9,128920.0,16.0,14.0,5.1,34.8,30.5,8.5
725,Vellore,Maize,Mid-season,1.2,37.9,30.5,13.2,4.32,5.19,22.0,21.2,15.1,60980.0,0.0,25.6,0.0,0.0,55.6,0.0
726,Trichy,Rice,Late-season,1.05,33.5,24.5,14.7,4.74,4.98,15.9,15.5,19.4,78523.0,0.0,30.6,0.0,0.0,66.4,0.0
727,Madurai,Sorghum,Late-season,0.8,30.0,20.2,25.6,7.89,6.31,1.0,1.0,43.1,174519.0,59.6,35.3,0.0,129.6,76.7,0.0
728,Kovilpatti,Coconut,Mid-season,1.0,36.0,26.9,20.9,7.15,7.15,32.0,30.3,19.7,79868.0,63.0,13.0,14.0,136.9,28.3,23.4
729,Thanjavur,Turmeric,Initial,0.3,30.0,22.7,16.4,4.51,1.35,2.5,2.5,7.0,28231.0,67.2,21.5,0.0,146.2,46.8,0.0
730,Madurai,Banana,Mid-season,1.1,33.4,24.4,15.5,5.02,5.52,7.1,7.0,31.6,127917.0,0.0,33.9,0.0,0.0,73.7,0.0
731,Tirunelveli,Groundnut,Initial,0.4,29.9,21.6,15.2,4.38,1.75,14.3,13.9,0.0,0.0,0.0,28.4,0.0,0.0,61.7,0.0
732,Tirunelveli,Millets,Mid-season,1.0,36.7,28.0,20.8,7.05,7.05,7.5,7.4,41.9,169705.0,26.7,26.0,0.0,58.1,56.6,0.0
733,Tirunelveli,Onion,Late-season,0.9,35.7,26.4,18.9,6.49,5.84,1.3,1.3,39.6,160336.0,43.8,15.8,0.0,95.2,34.4,0.0
734,Vellore,Coconut,Development,1.0,29.7,19.9,17.4,5.34,5.34,11.5,11.3,26.1,105621.0,11.7,12.2,0.0,25.5,26.6,0.0
735,Kovilpatti,Pulses,Mid-season,1.1,34.4,26.0,18.8,6.02,6.62,11.1,10.9,35.5,143580.0,12.8,19.3,0.0,27.8,42.0,0.0
736,Tirunelveli,Banana,Late-season,1.05,35.9,26.3,15.2,5.3,5.57,17.9,17.4,21.6,87266.0,0.0,48.4,0.8,0.0,105.3,1.3
737,Trichy,Onion,Mid-season,1.05,34.8,27.9,23.0,6.86,7.2,0.0,0.0,50.4,203914.0,15.4,28.6,0.0,33.6,62.2,0.0
738,Tirunelveli,Rice,Late-season,1.05,35.5,27.4,17.2,5.56,5.84,7.5,7.4,33.5,135418.0,0.0,48.9,0.0,0.0,106.3,0.0
739,Trichy,Coconut,Late-season,1.0,32.2,25.7,17.1,4.69,4.69,5.9,5.9,27.0,109159.0,0.0,22.2,0.0,0.0,48.3,0.0
740,Kovilpatti,Onion,Initial,0.7,32.3,23.8,15.0,4.6,3.22,3.4,3.4,19.2,77510.0,25.2,28.5,0.0,54.8,61.8,0.0
741,Tirunelveli,Cotton,Development,0.75,40.0,32.1,21.1,7.38,5.53,4.2,4.2,34.6,139930.0,26.9,41.7,0.0,58.5,90.6,0.0
742,Vellore,Onion,Mid-season,1.05,26.9,18.9,19.7,5.21,5.47,0.8,0.8,37.5,151722.0,48.8,14.6,7.7,106.2,31.8,12.9
743,Trichy,Rice,Late-season,1.05,37.9,27.9,21.7,8.01,8.41,2.1,2.1,56.7,229577.0,32.0,29.6,0.0,69.6,64.4,0.0
744,Trichy,Maize,Late-season,0.9,30.5,22.9,22.8,6.44,5.79,12.3,12.0,28.5,115522.0,0.0,45.6,0.0,0.0,99.1,0.0
745,Kovilpatti,Millets,Mid-season,1.0,28.0,20.5,19.8,5.23,5.23,4.6,4.5,32.1,129977.0,4.2,36.1,0.0,9.1,78.6,0.0
746,Krishnagiri,Millets,Development,0.65,34.3,26.5,18.7,5.78,3.76,0.2,0.2,26.1,105696.0,0.0,47.5,23.3,0.0,103.4,38.8
747,Madurai,Sunflower,Mid-season,1.15,27.6,20.0,12.9,3.42,3.94,6.2,6.1,21.4,86778.0,0.0,14.0,0.0,0.0,30.5,0.0
748,Tirunelveli,Sugarcane,Development,0.82,31.7,25.6,18.2,4.8,3.96,21.2,20.5,7.2,29336.0,0.0,19.9,0.0,0.0,43.2,0.0
749,Trichy,Maize,Development,0.75,30.3,23.5,17.6,4.71,3.54,12.4,12.2,12.6,50851.0,9.9,48.9,18.7,21.6,106.3,31.2
750,Thanjavur,Chili,Development,0.82,32.0,23.8,19.8,5.95,4.91,10.3,10.2,24.2,97915.0,42.4,44.3,0.0,92.3,96.4,0.0
751,Thanjavur,Millets,Development,0.65,38.3,30.5,22.2,7.45,4.84,27.7,26.5,7.4,29938.0,2.6,25.3,0.0,5.6,55.0,0.0
752,Krishnagiri,Sorghum,Development,0.68,32.9,23.0,20.3,6.71,4.53,33.2,31.4,0.3,1276.0,0.0,34.7,0.0,0.0,75.5,0.0
753,Thanjavur,Banana,Development,0.8,33.4,24.6,13.2,4.23,3.39,20.9,20.2,3.5,14346.0,1.8,33.9,0.0,3.9,73.6,0.0
754,Trichy,Cotton,Late-season,0.92,34.6,27.1,13.2,4.04,3.73,3.8,3.7,22.4,90662.0,55.3,20.7,0.0,120.2,45.0,0.0
755,Madurai,Banana,Development,0.8,32.5,22.5,25.1,8.22,6.58,16.6,16.1,29.9,121084.0,64.0,23.5,0.0,139.2,51.0,0.0
756,Kovilpatti,Sorghum,Development,0.68,33.5,23.9,19.3,6.41,4.33,6.1,6.0,24.3,98175.0,32.6,24.1,0.0,71.0,52.4,0.0
757,Madurai,Onion,Late-season,0.9,31.5,24.6,14.6,4.04,3.64,5.4,5.4,20.1,81325.0,17.1,17.8,20.2,37.3,38.7,33.7
758,Madurai,Onion,Development,0.88,33.5,26.1,15.7,4.67,4.08,9.8,9.6,19.0,76789.0,3.0,50.2,0.0,6.6,109.2,0.0
759,Tirunelveli,Millets,Development,0.65,35.9,28.0,16.7,5.35,3.48,3.1,3.0,21.3,86243.0,0.0,33.9,0.0,0.0,73.6,0.0
760,Tirunelveli,Maize,Development,0.75,34.4,27.0,13.0,3.92,2.94,3.3,3.3,17.3,69891.0,67.6,35.6,0.0,147.0,77.5,0.0
761,Coimbatore,Banana,Mid-season,1.1,33.2,23.9,15.0,4.87,5.36,12.0,11.8,25.7,104129.0,28.0,18.3,0.0,60.9,39.8,0.0
762,Vellore,Sugarcane,Late-season,1.0,31.8,22.2,19.3,6.16,6.16,8.3,8.2,34.9,141237.0,7.1,34.5,0.0,15.5,75.1,0.0
763,Thanjavur,Maize,Mid-season,1.2,31.4,24.7,16.6,4.51,5.41,1.7,1.7,36.1,146254.0,20.7,48.0,0.0,45.1,104.2,0.0
764,Nagapattinam,Millets,Late-season,0.75,34.0,24.7,17.5,5.79,4.34,4.3,4.3,26.1,105495.0,0.0,40.0,0.0,0.0,87.0,0.0
765,Krishnagiri,Onion,Late-season,0.9,35.8,29.3,17.6,5.15,4.64,14.5,14.2,18.2,73825.0,0.2,27.6,0.0,0.5,60.0,0.0
766,Krishnagiri,Chili,Mid-season,1.05,35.2,26.2,21.7,7.29,7.65,4.0,4.0,49.6,200694.0,77.1,42.6,0.0,167.7,92.6,0.0
767,Vellore,Sesamum,Development,0.73,30.0,23.4,16.2,4.26,3.09,7.0,6.9,14.7,59516.0,0.0,36.5,1.7,0.0,79.4,2.8
768,Trichy,Coconut,Initial,1.0,32.9,26.5,18.7,5.18,5.18,7.8,7.7,28.6,115602.0,0.0,30.1,0.0,0.0,65.5,0.0
769,Kovilpatti,Turmeric,Mid-season,1.05,30.5,22.8,21.5,6.09,6.39,0.7,0.7,44.1,178379.0,32.6,17.9,0.0,70.9,38.9,0.0
770,Nagapattinam,Millets,Mid-season,1.0,34.3,25.4,19.3,6.28,6.28,11.0,10.8,33.2,134232.0,81.4,15.8,0.0,177.0,34.4,0.0
771,Coimbatore,Groundnut,Initial,0.4,35.3,25.8,21.8,7.49,3.0,8.2,8.1,12.9,52279.0,28.3,44.3,0.0,61.5,96.2,0.0
772,Madurai,Maize,Mid-season,1.2,34.3,24.8,19.6,6.58,7.89,4.7,4.7,50.6,204595.0,0.0,34.1,0.0,0.0,74.1,0.0
773,Nagapattinam,Millets,Development,0.65,31.2,25.2,22.3,5.78,3.75,25.7,24.6,1.7,6762.0,0.0,38.3,0.3,0.0,83.3,0.4
774,Madurai,Pulses,Development,0.75,30.3,22.7,13.7,3.83,2.87,1.1,1.1,19.0,76997.0,0.0,42.6,0.0,0.0,92.7,0.0
775,Vellore,Millets,Initial,0.3,33.4,25.3,19.0,5.87,1.76,6.3,6.2,6.1,24727.0,43.3,22.6,0.0,94.2,49.2,0.0
776,Kovilpatti,Onion,Development,0.88,29.3,20.7,17.7,5.1,4.47,1.6,1.6,29.6,119945.0,0.0,37.9,0.0,0.0,82.4,0.0
777,Thanjavur,Sugarcane,Late-season,1.0,31.9,22.8,19.9,6.25,6.25,7.9,7.8,36.0,145535.0,49.5,38.5,0.0,107.5,83.7,0.0
778,Tirunelveli,Maize,Initial,0.3,35.3,28.5,21.0,6.26,1.88,4.1,4.1,9.0,36606.0,36.2,41.3,35.2,78.8,89.8,58.7
779,Trichy,Banana,Late-season,1.05,36.9,29.3,20.2,6.52,6.84,1.9,1.9,46.0,186197.0,0.0,28.7,0.0,0.0,62.3,0.0
780,Nagapattinam,Pulses,Initial,0.4,30.2,22.2,24.6,7.02,2.81,4.2,4.1,15.5,62803.0,10.1,38.0,39.6,22.0,82.5,66.0
781,Nilgiris,Millets,Development,0.65,35.8,27.9,19.5,6.26,4.07,23.2,22.4,6.1,24751.0,0.0,31.6,0.0,0.0,68.6,0.0
782,Kovilpatti,Onion,Mid-season,1.05,32.5,26.3,18.6,5.01,5.26,7.1,7.0,29.8,120668.0,0.0,47.2,0.0,0.0,102.6,0.0
783,Trichy,Millets,Development,0.65,31.8,23.0,23.8,7.33,4.77,6.7,6.6,26.7,108166.0,0.0,45.3,0.0,0.0,98.6,0.0
784,Madurai,Turmeric,Initial,0.3,30.5,20.6,19.6,6.14,1.84,13.3,13.0,0.0,0.0,33.6,27.7,0.0,73.0,60.2,0.0
785,Nagapattinam,Sorghum,Initial,0.3,38.3,30.2,22.7,7.77,2.33,8.7,8.6,7.8,31404.0,29.2,54.1,0.0,63.4,117.6,0.0
786,Krishnagiri,Millets,Mid-season,1.0,32.6,25.1,18.6,5.45,5.45,0.8,0.8,37.3,151147.0,21.0,34.4,3.6,45.6,74.7,6.0
787,Vellore,Sesamum,Initial,0.35,29.8,20.6,19.9,5.98,2.09,15.5,15.1,0.0,0.0,0.0,37.5,0.0,0.0,81.5,0.0
788,Coimbatore,Maize,Mid-season,1.2,29.5,21.2,18.0,5.16,6.19,4.4,4.4,38.9,157533.0,23.4,16.2,0.0,50.9,35.3,0.0
789,Nagapattinam,Chili,Mid-season,1.05,36.8,30.6,16.1,4.74,4.98,4.2,4.2,30.7,124189.0,40.6,25.2,0.0,88.2,54.7,0.0
790,Tirunelveli,Pulses,Mid-season,1.1,36.6,30.6,18.0,5.23,5.75,8.8,8.7,31.5,127661.0,0.0,33.6,0.0,0.0,73.1,0.0
791,Kovilpatti,Sesamum,Mid-season,1.1,31.7,24.8,19.7,5.47,6.02,0.1,0.1,42.1,170260.0,60.0,14.9,0.0,130.4,32.5,0.0
792,Coimbatore,Sunflower,Development,0.75,36.4,29.0,18.0,5.69,4.27,3.5,3.4,26.4,107025.0,0.0,44.5,0.0,0.0,96.7,0.0
793,Trichy,Banana,Mid-season,1.1,34.9,25.4,24.1,8.21,9.03,9.6,9.5,53.7,217504.0,57.6,21.2,10.0,125.3,46.1,16.6
794,Krishnagiri,Sesamum,Initial,0.35,33.0,23.3,19.2,6.33,2.22,2.1,2.1,13.4,54373.0,0.0,33.8,34.2,0.0,73.5,57.0
795,Coimbatore,Onion,Development,0.88,36.9,28.8,17.7,5.87,5.14,6.4,6.3,29.6,119946.0,0.0,27.9,0.0,0.0,60.7,0.0
796,Madurai,Cotton,Mid-season,1.15,32.9,24.9,12.7,3.87,4.45,4.9,4.9,26.2,106179.0,0.0,44.7,0.0,0.0,97.1,0.0
797,Tirunelveli,Chili,Mid-season,1.05,32.7,23.8,22.6,7.15,7.51,58.5,53.0,0.0,0.0,71.5,14.1,0.0,155.5,30.6,0.0
798,Tirunelveli,Millets,Development,0.65,36.5,29.6,23.4,7.16,4.65,8.3,8.2,24.4,98776.0,0.0,17.9,15.3,0.0,39.0,25.5
799,Coimbatore,Pulses,Mid-season,1.1,27.3,19.3,19.9,5.32,5.85,1.1,1.1,39.8,161167.0,0.0,14.4,0.0,0.0,31.3,0.0
800,Madurai,Sugarcane,Initial,0.4,37.4,30.7,23.0,7.11,2.84,2.8,2.8,17.1,69330.0,19.1,13.6,0.0,41.6,29.5,0.0
801,Nilgiris,Onion,Mid-season,1.05,33.0,25.3,18.2,5.43,5.7,0.9,0.9,39.0,157730.0,69.4,17.1,29.7,150.8,37.1,49.4
802,Nagapattinam,Millets,Initial,0.3,38.3,29.8,15.2,5.28,1.58,3.1,3.1,8.0,32433.0,0.0,46.9,0.0,0.0,102.0,0.0
803,Trichy,Millets,Initial,0.3,37.9,29.6,16.7,5.67,1.7,15.3,15.0,0.0,0.0,38.2,24.2,14.1,83.0,52.5,23.6
804,Nilgiris,Groundnut,Mid-season,1.1,32.3,25.8,14.8,4.08,4.49,1.4,1.4,30.1,121663.0,28.9,40.4,10.2,62.7,87.8,17.1
805,Krishnagiri,Onion,Mid-season,1.05,28.3,19.1,20.4,5.9,6.19,0.6,0.6,42.8,173014.0,54.1,41.6,0.0,117.6,90.5,0.0
806,Thanjavur,Pulses,Mid-season,1.1,34.0,24.3,20.2,6.78,7.45,2.0,2.0,50.2,203010.0,0.0,42.5,7.6,0.0,92.5,12.7
807,Tirunelveli,Sunflower,Mid-season,1.15,34.5,26.9,19.6,6.03,6.93,24.5,23.5,25.0,101319.0,0.0,29.4,0.0,0.0,63.9,0.0
808,Nilgiris,Turmeric,Development,0.68,28.8,22.8,23.8,5.84,3.94,12.8,12.6,15.1,60910.0,1.0,49.4,0.0,2.2,107.5,0.0
809,Thanjavur,Millets,Development,0.65,27.3,19.3,17.8,4.75,3.09,11.9,11.6,10.0,40419.0,29.9,19.6,0.0,64.9,42.6,0.0
810,Coimbatore,Cotton,Late-season,0.92,37.9,31.2,21.9,6.81,6.3,0.7,0.7,43.3,175339.0,0.0,15.8,0.0,0.0,34.3,0.0
811,Tirunelveli,Groundnut,Mid-season,1.1,27.8,18.2,19.7,5.75,6.32,3.7,3.7,40.6,164343.0,0.0,18.4,67.3,0.0,40.1,112.1
812,Tirunelveli,Chili,Development,0.82,35.5,27.4,15.9,5.1,4.21,5.1,5.0,24.4,98825.0,82.5,41.2,0.0,179.3,89.5,0.0
813,Tirunelveli,Coconut,Development,1.0,35.6,26.7,20.6,6.94,6.94,36.3,34.2,14.4,58152.0,15.2,17.9,15.6,33.1,38.8,26.0
814,Coimbatore,Turmeric,Development,0.68,36.8,28.2,15.4,5.24,3.54,0.2,0.2,24.5,99275.0,29.0,45.5,28.7,63.0,98.8,47.8
815,Tirunelveli,Maize,Mid-season,1.2,31.4,22.9,15.4,4.64,5.56,0.1,0.1,38.8,157033.0,22.0,42.6,0.0,47.8,92.6,0.0
816,Tirunelveli,Sunflower,Mid-season,1.15,26.5,18.3,17.5,4.65,5.35,18.4,17.9,19.6,79144.0,0.0,38.0,0.0,0.0,82.6,0.0
817,Krishnagiri,Pulses,Mid-season,1.1,31.7,22.8,20.2,6.26,6.88,4.5,4.5,43.7,176685.0,0.0,54.4,0.0,0.0,118.3,0.0
818,Nilgiris,Coconut,Late-season,1.0,30.9,24.9,12.4,3.21,3.21,6.9,6.9,15.6,63137.0,20.5,24.1,0.0,44.7,52.4,0.0
819,Nilgiris,Sunflower,Mid-season,1.15,33.9,25.4,19.2,6.13,7.05,0.3,0.3,49.1,198794.0,12.8,51.8,0.0,27.8,112.5,0.0
820,Vellore,Pulses,Mid-season,1.1,37.0,28.1,17.6,6.12,6.73,0.5,0.5,46.6,188585.0,0.0,45.2,0.0,0.0,98.3,0.0
821,Madurai,Coconut,Mid-season,1.0,36.5,27.4,20.3,6.99,6.99,35.4,33.4,15.6,62950.0,46.6,53.2,0.0,101.3,115.5,0.0
822,Krishnagiri,Rice,Development,1.12,32.0,22.6,18.2,5.76,6.48,0.4,0.4,44.9,181879.0,0.0,28.2,0.0,0.0,61.2,0.0
823,Coimbatore,Pulses,Mid-season,1.1,30.2,20.8,15.9,4.84,5.32,0.1,0.1,37.2,150371.0,69.5,31.2,0.0,151.1,67.9,0.0
824,Trichy,Coconut,Mid-season,1.0,29.1,21.0,26.9,7.58,7.58,3.4,3.3,49.7,201137.0,0.0,54.0,0.0,0.0,117.5,0.0
825,Thanjavur,Pulses,Mid-season,1.1,34.7,25.0,19.9,6.76,7.44,3.2,3.2,48.9,197905.0,0.0,37.9,0.0,0.0,82.4,0.0
826,Krishnagiri,Groundnut,Development,0.75,30.2,22.9,21.6,5.95,4.46,6.1,6.0,25.2,101905.0,16.4,20.8,0.0,35.6,45.1,0.0
827,Coimbatore,Sorghum,Mid-season,1.05,34.7,27.6,21.1,6.3,6.61,2.3,2.2,44.0,178193.0,9.0,40.4,0.0,19.5,87.8,0.0
828,Thanjavur,Rice,Mid-season,1.2,34.3,25.4,15.7,5.15,6.18,8.7,8.6,34.7,140239.0,0.0,35.5,0.0,0.0,77.3,0.0
829,Madurai,Sesamum,Late-season,0.68,34.3,28.0,16.7,4.72,3.19,0.9,0.9,21.4,86644.0,80.3,25.1,0.0,174.7,54.7,0.0
830,Madurai,Cotton,Mid-season,1.15,37.1,30.1,17.3,5.38,6.18,1.0,1.0,42.3,171257.0,88.3,42.5,0.0,192.0,92.3,0.0
831,Coimbatore,Sunflower,Development,0.75,33.9,26.2,18.2,5.54,4.15,4.1,4.0,25.0,101306.0,59.2,53.4,0.0,128.7,116.0,0.0
832,Trichy,Chili,Late-season,0.98,35.7,28.1,22.9,7.2,7.02,1.1,1.1,48.0,194271.0,23.1,28.7,0.0,50.2,62.3,0.0
833,Thanjavur,Sorghum,Development,0.68,31.3,21.4,23.8,7.62,5.14,3.4,3.4,32.6,131825.0,0.0,44.1,0.0,0.0,95.9,0.0
834,Madurai,Rice,Initial,1.05,32.6,24.9,20.8,6.17,6.48,9.3,9.2,36.1,146285.0,0.0,45.9,62.1,0.0,99.7,103.4
835,Krishnagiri,Sorghum,Mid-season,1.05,39.2,32.7,16.5,5.19,5.45,10.6,10.4,27.8,112398.0,0.0,50.8,0.0,0.0,110.3,0.0
836,Tirunelveli,Onion,Late-season,0.9,32.2,22.8,21.9,6.98,6.28,0.8,0.8,43.1,174618.0,0.0,38.9,0.0,0.0,84.5,0.0
837,Thanjavur,Sunflower,Development,0.75,35.7,28.6,16.6,5.07,3.8,4.7,4.7,21.9,88621.0,37.6,27.0,0.0,81.7,58.8,0.0
838,Vellore,Sesamum,Late-season,0.68,38.1,30.2,19.1,6.39,4.32,5.5,5.4,24.8,100294.0,0.0,23.4,0.0,0.0,50.9,0.0
839,Madurai,Maize,Mid-season,1.2,37.5,29.9,17.6,5.73,6.87,14.0,13.7,34.4,139221.0,44.3,29.7,32.1,96.4,64.5,53.5
840,Nilgiris,Chili,Late-season,0.98,35.6,28.6,19.6,5.94,5.79,3.3,3.3,37.3,150855.0,0.0,40.5,0.0,0.0,88.0,0.0
841,Tirunelveli,Millets,Development,0.65,30.3,21.9,20.7,6.08,3.95,10.4,10.2,17.5,70657.0,0.0,37.1,0.0,0.0,80.7,0.0
842,Tirunelveli,Rice,Development,1.12,37.5,29.9,18.7,6.1,6.86,22.5,21.7,26.3,106339.0,0.0,36.3,26.9,0.0,78.9,44.8
