location,district_soil_type,crop_type,year,season,soil_ph,soil_ec_dS_m,organic_carbon_pct,available_nitrogen_kg_ha,available_phosphorus_kg_ha,available_potassium_kg_ha,area_hectares,yield_kg_per_hectare,production_kg
krishnagiri,Red Loam,Sorghum,2015,Kharif,6.75,0.47,0.6,191.4,22.8,194.4,2.62,1250.3,3275.3
kovilpatti,Red Sandy Loam,Rice,2015,Summer,5.9,0.48,0.43,277.8,12.7,165.9,1.3,2819.7,3672.4
trichy,Black Cotton Soil,Sugarcane,2017,Summer,6.52,0.51,0.57,237.5,12.3,220.0,0.52,65569.7,34309.9
nagapattinam,Coastal Alluvial,Pulses,2015,Kharif,7.38,0.52,0.55,261.8,13.2,214.2,0.2,696.7,139.3
nagapattinam,Coastal Alluvial,Sugarcane,2023,Rabi,6.9,0.24,0.51,275.7,7.6,185.2,2.93,81858.1,240088.1
tirunelveli,Red Loam,Rice,2016,Rabi,7.48,0.68,0.96,342.7,12.6,284.7,0.78,3327.8,2606.0
tirunelveli,Red Loam,Sorghum,2019,Summer,7.25,0.68,0.5,277.4,22.9,81.4,1.69,1333.6,2252.4
tirunelveli,Red Loam,Millets,2020,Kharif,6.08,0.05,0.48,235.7,12.7,230.0,3.24,1024.2,3315.6
thanjavur,Alluvial Clay (Delta),Cotton,2016,Summer,7.77,0.55,0.64,217.0,16.0,169.0,2.35,457.9,1076.4
nagapattinam,Coastal Alluvial,Sugarcane,2021,Kharif,6.63,0.05,0.7,144.1,15.5,342.1,3.72,61646.5,229501.6
kovilpatti,Red Sandy Loam,Rice,2021,Summer,6.83,0.42,0.68,342.1,11.4,60.4,8.25,3517.5,29016.3
vellore,Red Sandy Loam,Cotton,2016,Rabi,7.38,0.34,0.71,286.7,16.2,189.9,4.21,475.6,2003.7
vellore,Red Sandy Loam,Pulses,2024,Summer,6.23,0.8,0.84,248.0,11.8,220.1,2.15,745.1,1603.7
vellore,Red Sandy Loam,Cotton,2024,Summer,7.23,0.44,0.53,181.3,20.2,397.5,0.2,391.1,78.2
nilgiris,Lateritic Hill Soil,Rice,2024,Rabi,7.09,0.44,0.42,196.5,27.1,268.7,2.76,2839.0,7838.2
vellore,Red Sandy Loam,Sorghum,2024,Kharif,7.62,0.84,0.52,266.3,19.0,128.1,2.2,1462.1,3212.0
coimbatore,Red Sandy Loam,Cotton,2018,Summer,7.74,0.71,0.52,182.7,8.8,134.5,0.22,446.8,100.1
krishnagiri,Red Loam,Pulses,2015,Rabi,7.0,0.6,0.67,258.6,30.0,174.0,2.46,712.1,1750.0
nilgiris,Lateritic Hill Soil,Rice,2015,Kharif,6.74,0.58,0.6,222.2,18.5,141.4,0.9,3402.2,3047.0
nagapattinam,Coastal Alluvial,Sorghum,2022,Rabi,7.12,0.38,0.2,263.9,19.1,249.0,0.45,1425.0,639.6
tirunelveli,Red Loam,Cotton,2019,Kharif,6.98,0.68,0.64,273.3,12.6,273.0,2.37,395.9,939.5
thanjavur,Alluvial Clay (Delta),Millets,2015,Kharif,7.5,0.65,0.61,263.3,13.2,230.1,0.57,1129.3,649.0
krishnagiri,Red Loam,Pulses,2018,Kharif,5.73,0.45,0.78,288.4,11.5,239.5,0.77,800.1,614.5
krishnagiri,Red Loam,Sugarcane,2017,Rabi,6.68,0.54,0.46,232.1,27.6,264.8,2.67,67401.3,180175.3
kovilpatti,Red Sandy Loam,Rice,2016,Summer,6.11,0.33,0.26,267.9,16.9,138.5,2.87,2458.4,7057.5
kovilpatti,Red Sandy Loam,Millets,2018,Rabi,6.8,0.54,0.3,230.8,15.0,286.6,0.98,958.8,937.3
thanjavur,Alluvial Clay (Delta),Cotton,2017,Kharif,7.61,0.15,0.38,184.5,10.1,50.0,0.26,402.6,103.4
kovilpatti,Red Sandy Loam,Sugarcane,2019,Summer,8.02,0.72,0.89,234.1,15.1,332.1,0.24,56273.8,13461.1
nilgiris,Lateritic Hill Soil,Rice,2016,Rabi,7.15,0.22,0.54,249.2,14.7,162.9,5.66,2947.0,16688.2
krishnagiri,Red Loam,Millets,2019,Kharif,5.74,0.62,0.54,213.8,19.5,160.9,1.74,1140.6,1984.4
coimbatore,Red Sandy Loam,Sugarcane,2023,Rabi,5.48,0.44,0.54,170.3,17.9,192.0,6.54,59860.8,391225.5
coimbatore,Red Sandy Loam,Millets,2023,Kharif,7.42,0.62,0.33,315.7,16.0,178.5,0.42,1026.8,436.4
nagapattinam,Coastal Alluvial,Sorghum,2016,Rabi,6.38,0.43,0.87,198.0,18.4,319.4,1.54,1443.9,2216.8
coimbatore,Red Sandy Loam,Millets,2019,Summer,6.27,0.23,0.27,272.5,7.2,314.2,0.2,1104.9,221.0
vellore,Red Sandy Loam,Pulses,2019,Rabi,6.7,0.38,0.48,291.5,20.2,240.4,1.34,802.1,1076.3
trichy,Black Cotton Soil,Pulses,2019,Rabi,8.18,0.94,0.55,192.2,19.6,162.5,1.51,701.4,1060.7
thanjavur,Alluvial Clay (Delta),Cotton,2017,Summer,7.08,0.6,0.37,151.1,19.0,176.2,3.5,452.8,1585.1
tirunelveli,Red Loam,Pulses,2023,Rabi,6.58,0.09,0.26,211.1,20.4,297.2,0.2,785.3,157.1
trichy,Black Cotton Soil,Cotton,2017,Rabi,5.65,0.7,0.81,209.7,13.8,211.7,3.69,410.3,1513.8
kovilpatti,Red Sandy Loam,Rice,2018,Summer,5.87,0.27,0.31,252.9,23.2,144.9,0.53,2802.8,1488.5
madurai,Black Clay Loam,Cotton,2022,Kharif,7.47,0.67,0.45,304.1,15.7,215.2,1.48,458.4,676.1
madurai,Black Clay Loam,Sorghum,2016,Rabi,7.19,0.16,0.33,199.7,19.3,168.7,3.85,1383.7,5324.6
vellore,Red Sandy Loam,Pulses,2023,Summer,5.58,0.4,0.7,195.2,15.3,349.8,1.71,698.0,1190.9
nilgiris,Lateritic Hill Soil,Pulses,2022,Rabi,7.36,0.4,0.55,264.3,14.4,54.6,3.45,712.1,2455.3
vellore,Red Sandy Loam,Cotton,2015,Kharif,6.88,0.29,0.92,265.3,21.2,286.5,1.48,516.4,764.1
tirunelveli,Red Loam,Millets,2022,Kharif,5.43,0.33,0.53,248.2,18.7,216.8,2.99,1090.9,3262.7
vellore,Red Sandy Loam,Millets,2023,Rabi,6.21,0.27,0.68,266.4,12.1,151.3,2.08,1091.0,2273.6
krishnagiri,Red Loam,Rice,2022,Kharif,6.73,0.25,0.55,239.1,17.9,257.6,0.2,3364.9,673.0
trichy,Black Cotton Soil,Rice,2023,Rabi,7.4,0.85,0.9,281.9,7.9,94.2,0.2,3187.4,637.5
krishnagiri,Red Loam,Rice,2022,Kharif,8.16,0.64,0.24,330.3,25.2,200.3,1.16,2945.1,3428.3
vellore,Red Sandy Loam,Sugarcane,2019,Kharif,6.96,0.28,0.41,258.7,25.4,271.8,7.8,70912.1,552972.5
kovilpatti,Red Sandy Loam,Cotton,2020,Summer,6.74,0.62,0.41,214.0,11.1,298.6,4.33,475.9,2058.3
nagapattinam,Coastal Alluvial,Pulses,2019,Summer,7.62,0.81,0.61,249.5,14.8,272.1,2.65,772.0,2043.0
vellore,Red Sandy Loam,Pulses,2018,Kharif,7.04,0.22,0.38,194.2,27.3,103.1,1.42,733.5,1040.5
vellore,Red Sandy Loam,Millets,2024,Summer,6.63,0.26,0.6,278.2,18.0,282.7,1.54,1250.0,1924.1
nagapattinam,Coastal Alluvial,Pulses,2015,Rabi,6.21,0.65,0.64,344.9,28.1,196.0,1.25,675.6,845.5
coimbatore,Red Sandy Loam,Sugarcane,2022,Rabi,7.3,0.05,0.32,312.5,24.6,211.0,0.96,65960.2,63000.6
nilgiris,Lateritic Hill Soil,Cotton,2019,Rabi,6.57,0.49,0.84,221.8,19.0,270.9,0.37,523.9,195.4
nilgiris,Lateritic Hill Soil,Rice,2020,Rabi,7.26,0.5,0.58,313.9,21.3,186.1,1.37,3097.2,4233.4
vellore,Red Sandy Loam,Pulses,2022,Summer,7.15,0.56,0.29,231.0,15.7,227.2,0.2,643.3,128.7
coimbatore,Red Sandy Loam,Millets,2015,Rabi,6.44,0.61,0.31,167.9,24.7,160.1,0.2,1142.6,228.5
nagapattinam,Coastal Alluvial,Millets,2017,Summer,6.33,0.36,0.32,131.3,22.3,235.6,0.2,921.8,184.4
coimbatore,Red Sandy Loam,Sugarcane,2024,Summer,6.43,0.39,0.55,203.3,12.7,218.5,2.76,68100.4,187694.7
thanjavur,Alluvial Clay (Delta),Pulses,2019,Rabi,7.26,0.47,0.59,188.4,21.9,196.7,2.61,656.8,1712.8
kovilpatti,Red Sandy Loam,Millets,2016,Kharif,6.55,0.78,0.51,347.1,12.7,289.6,1.02,1129.3,1156.9
thanjavur,Alluvial Clay (Delta),Rice,2021,Rabi,7.39,0.36,0.28,193.7,15.9,289.6,0.2,3327.5,665.5
madurai,Black Clay Loam,Pulses,2017,Kharif,6.12,0.75,0.65,142.3,7.4,215.5,1.36,632.5,857.8
madurai,Black Clay Loam,Rice,2023,Rabi,6.84,0.23,0.63,340.1,13.6,131.4,1.83,3095.4,5670.3
trichy,Black Cotton Soil,Sugarcane,2020,Kharif,6.96,0.41,0.72,331.7,12.8,272.3,1.36,71620.3,97094.7
madurai,Black Clay Loam,Pulses,2022,Kharif,6.62,0.58,0.81,297.6,20.0,322.0,0.93,796.5,738.3
nagapattinam,Coastal Alluvial,Pulses,2023,Kharif,7.04,0.3,0.52,223.0,20.6,224.3,3.37,688.6,2318.2
nagapattinam,Coastal Alluvial,Cotton,2019,Summer,6.7,0.7,0.73,384.0,18.6,234.0,4.67,461.6,2155.8
krishnagiri,Red Loam,Millets,2024,Rabi,6.18,0.38,0.71,166.4,16.8,293.8,0.87,1013.8,884.3
krishnagiri,Red Loam,Millets,2019,Summer,6.0,0.62,0.64,322.9,8.8,143.3,3.49,1127.6,3930.0
tirunelveli,Red Loam,Pulses,2021,Summer,7.4,0.28,0.26,212.2,20.7,203.0,0.99,650.4,646.6
nilgiris,Lateritic Hill Soil,Pulses,2024,Summer,6.23,0.66,0.41,267.6,9.1,221.7,0.2,752.4,150.5
vellore,Red Sandy Loam,Cotton,2015,Rabi,6.88,0.07,0.39,217.7,13.9,196.0,2.25,457.5,1030.7
thanjavur,Alluvial Clay (Delta),Sugarcane,2019,Kharif,6.86,0.63,0.58,285.7,18.6,167.5,1.54,70556.6,108892.3
tirunelveli,Red Loam,Pulses,2020,Rabi,5.91,0.24,0.52,236.2,17.0,174.7,5.89,618.2,3638.4
trichy,Black Cotton Soil,Millets,2020,Rabi,7.22,0.72,0.37,210.9,28.4,151.7,1.81,1163.3,2103.0
krishnagiri,Red Loam,Millets,2020,Kharif,5.89,0.76,0.49,363.1,21.7,237.6,0.2,1097.0,219.4
coimbatore,Red Sandy Loam,Rice,2023,Rabi,6.58,0.23,0.52,265.0,21.1,371.9,3.04,3382.9,10294.4
trichy,Black Cotton Soil,Cotton,2016,Summer,7.3,0.24,0.31,212.1,19.7,354.5,1.41,419.1,590.7
nilgiris,Lateritic Hill Soil,Sugarcane,2020,Kharif,7.42,0.38,0.45,195.1,17.2,190.5,0.86,68562.4,58977.5
nagapattinam,Coastal Alluvial,Millets,2017,Summer,7.46,0.4,0.52,212.3,9.3,259.9,0.43,937.5,400.5
nilgiris,Lateritic Hill Soil,Pulses,2022,Kharif,7.77,0.09,0.39,162.6,20.1,121.4,2.15,601.9,1295.1
coimbatore,Red Sandy Loam,Sugarcane,2021,Summer,7.3,0.37,0.36,176.8,19.7,283.9,0.62,66493.2,41522.5
nagapattinam,Coastal Alluvial,Rice,2015,Rabi,6.25,0.45,0.62,91.8,24.3,185.4,1.88,3149.1,5925.4
nilgiris,Lateritic Hill Soil,Cotton,2015,Summer,6.51,0.26,0.48,236.5,16.4,416.1,0.2,455.5,91.1
nagapattinam,Coastal Alluvial,Millets,2017,Summer,6.44,0.54,0.62,294.0,14.5,188.0,1.78,1141.9,2030.5
trichy,Black Cotton Soil,Millets,2015,Rabi,7.12,0.2,0.93,147.3,24.9,214.3,4.8,1070.0,5135.0
thanjavur,Alluvial Clay (Delta),Rice,2018,Kharif,7.04,0.05,0.65,284.5,26.7,133.5,1.55,3181.4,4925.8
tirunelveli,Red Loam,Sorghum,2020,Rabi,6.51,0.41,0.95,204.6,19.4,237.2,2.42,1317.1,3188.1
kovilpatti,Red Sandy Loam,Rice,2020,Rabi,6.85,0.52,0.89,232.1,17.5,75.4,4.46,3123.7,13937.2
kovilpatti,Red Sandy Loam,Sorghum,2020,Rabi,6.34,0.57,0.29,233.5,26.4,221.9,0.85,1469.2,1252.8
thanjavur,Alluvial Clay (Delta),Sugarcane,2020,Summer,6.41,0.34,0.42,276.7,16.0,316.7,9.55,64898.7,620080.8
tirunelveli,Red Loam,Sorghum,2024,Summer,7.25,0.66,0.84,293.9,17.0,293.1,0.2,1844.5,368.9
vellore,Red Sandy Loam,Pulses,2019,Kharif,7.56,0.3,0.76,200.6,22.6,344.4,0.83,772.8,640.0
nagapattinam,Coastal Alluvial,Rice,2016,Summer,6.25,0.76,0.31,229.8,23.0,154.0,1.03,2579.4,2654.0
krishnagiri,Red Loam,Rice,2016,Rabi,5.73,0.68,0.74,256.7,18.6,258.1,0.2,2908.5,581.7
nilgiris,Lateritic Hill Soil,Millets,2016,Kharif,6.55,0.98,0.59,251.6,14.7,434.6,3.22,1017.0,3274.0
kovilpatti,Red Sandy Loam,Sorghum,2017,Rabi,6.82,0.59,0.65,279.7,31.1,239.0,0.94,1529.7,1437.4
tirunelveli,Red Loam,Pulses,2015,Rabi,8.5,0.48,0.51,258.3,18.8,165.5,0.23,679.9,158.7
nilgiris,Lateritic Hill Soil,Millets,2018,Rabi,6.56,0.47,0.79,255.4,14.0,247.9,1.62,1114.5,1800.8
madurai,Black Clay Loam,Sorghum,2024,Kharif,6.85,0.51,0.61,283.8,26.1,290.9,1.96,1501.6,2935.8
kovilpatti,Red Sandy Loam,Pulses,2015,Summer,6.56,0.09,0.73,271.1,23.6,207.0,0.23,713.4,161.2
trichy,Black Cotton Soil,Cotton,2020,Kharif,7.59,0.35,0.22,329.7,9.8,178.8,0.43,459.7,198.9
tirunelveli,Red Loam,Millets,2016,Summer,6.59,0.23,0.64,250.8,27.1,250.6,0.57,1190.0,683.6
nilgiris,Lateritic Hill Soil,Rice,2021,Rabi,6.02,0.55,1.03,300.2,25.6,206.6,4.93,3231.3,15932.4
vellore,Red Sandy Loam,Sorghum,2016,Rabi,6.46,0.41,0.58,261.7,17.9,179.3,1.08,1427.9,1539.5
trichy,Black Cotton Soil,Sorghum,2024,Summer,6.73,0.63,0.74,285.4,17.2,183.5,0.2,1377.7,275.5
tirunelveli,Red Loam,Pulses,2016,Summer,6.26,0.35,0.23,222.2,21.4,194.5,1.3,667.2,869.4
nagapattinam,Coastal Alluvial,Cotton,2017,Summer,5.45,0.41,0.42,253.0,18.4,218.3,0.32,428.4,137.0
krishnagiri,Red Loam,Pulses,2021,Summer,7.95,0.44,0.28,370.4,13.7,147.2,2.17,752.0,1632.5
tirunelveli,Red Loam,Sorghum,2019,Summer,6.02,0.57,0.74,165.0,22.4,299.4,0.79,1410.0,1112.6
nilgiris,Lateritic Hill Soil,Rice,2023,Rabi,6.46,0.66,0.45,207.2,9.7,265.2,3.78,3148.5,11889.0
thanjavur,Alluvial Clay (Delta),Rice,2021,Summer,6.87,0.59,0.62,297.1,17.3,207.3,0.86,3572.1,3085.5
nagapattinam,Coastal Alluvial,Rice,2018,Summer,6.25,0.5,0.43,223.4,24.1,283.6,0.61,2956.9,1788.9
thanjavur,Alluvial Clay (Delta),Pulses,2020,Kharif,5.68,0.62,0.46,274.7,24.5,233.3,1.06,586.8,621.6
nagapattinam,Coastal Alluvial,Millets,2015,Rabi,6.96,0.13,0.68,261.6,10.3,326.5,0.37,1057.1,388.4
tirunelveli,Red Loam,Sugarcane,2015,Kharif,7.19,0.46,0.72,252.9,11.5,221.0,0.2,67982.5,13596.5
kovilpatti,Red Sandy Loam,Sugarcane,2023,Rabi,6.57,0.49,0.69,173.6,19.6,312.2,1.42,66440.3,94461.2
thanjavur,Alluvial Clay (Delta),Cotton,2023,Summer,7.38,0.15,0.63,218.9,12.0,244.5,1.1,445.6,490.8
nagapattinam,Coastal Alluvial,Rice,2024,Kharif,7.34,0.68,0.81,246.2,7.9,177.3,1.37,3218.9,4397.1
nagapattinam,Coastal Alluvial,Sugarcane,2017,Rabi,7.65,0.26,0.62,180.9,12.9,160.8,0.2,78412.6,15682.5
thanjavur,Alluvial Clay (Delta),Rice,2024,Rabi,6.16,0.83,0.6,283.8,13.4,207.0,0.62,2737.2,1692.3
vellore,Red Sandy Loam,Sugarcane,2020,Kharif,7.0,0.54,0.44,178.5,25.1,269.6,3.44,55789.6,192113.5
coimbatore,Red Sandy Loam,Pulses,2021,Kharif,6.65,0.47,0.51,235.0,17.1,151.8,4.84,711.9,3442.6
tirunelveli,Red Loam,Cotton,2019,Rabi,6.34,0.1,0.68,327.8,13.0,131.1,0.2,442.5,88.5
krishnagiri,Red Loam,Cotton,2024,Kharif,7.51,0.8,0.55,241.9,14.9,105.8,0.49,370.8,181.8
madurai,Black Clay Loam,Cotton,2020,Rabi,6.38,0.57,0.35,228.9,20.5,175.9,0.72,395.0,285.2
vellore,Red Sandy Loam,Sugarcane,2015,Summer,6.18,0.24,0.5,183.2,14.9,188.9,1.43,68072.1,97106.0
kovilpatti,Red Sandy Loam,Pulses,2019,Kharif,6.87,0.42,0.76,222.2,12.5,162.9,0.2,812.0,162.4
thanjavur,Alluvial Clay (Delta),Pulses,2024,Summer,6.65,0.43,0.71,244.3,20.3,225.5,0.26,845.7,223.3
madurai,Black Clay Loam,Sugarcane,2022,Kharif,6.99,0.63,0.71,282.0,25.0,188.0,2.69,64648.9,174166.8
madurai,Black Clay Loam,Rice,2015,Rabi,5.64,0.52,0.56,147.1,21.6,257.1,6.06,2986.8,18102.6
krishnagiri,Red Loam,Pulses,2016,Summer,6.07,0.33,0.42,158.4,27.1,307.9,1.24,678.6,844.4
nilgiris,Lateritic Hill Soil,Sorghum,2016,Summer,7.12,0.68,0.51,208.7,24.8,240.2,1.59,1274.2,2025.8
krishnagiri,Red Loam,Sugarcane,2023,Rabi,6.67,0.37,0.87,221.0,14.8,213.4,1.11,62754.1,69807.9
thanjavur,Alluvial Clay (Delta),Sorghum,2021,Rabi,7.32,0.15,0.51,144.5,19.6,123.5,0.55,1262.7,699.8
kovilpatti,Red Sandy Loam,Millets,2024,Rabi,6.25,0.41,0.53,199.4,25.4,203.2,2.28,1126.4,2564.2
trichy,Black Cotton Soil,Millets,2021,Rabi,7.87,0.46,1.04,238.1,16.7,280.6,0.88,1122.3,982.4
vellore,Red Sandy Loam,Pulses,2015,Kharif,6.5,0.31,0.72,281.8,26.8,283.5,2.83,836.8,2367.6
kovilpatti,Red Sandy Loam,Rice,2019,Rabi,6.24,0.05,0.49,408.5,11.4,254.1,1.4,2854.4,3997.7
trichy,Black Cotton Soil,Rice,2019,Summer,5.44,0.64,0.94,241.5,17.9,258.4,6.12,3026.5,18529.5
madurai,Black Clay Loam,Sugarcane,2015,Rabi,6.26,0.62,0.77,212.8,9.6,306.1,0.23,68159.3,15378.1
krishnagiri,Red Loam,Pulses,2022,Rabi,6.4,0.24,0.61,193.8,22.2,180.8,2.3,759.4,1746.8
nagapattinam,Coastal Alluvial,Sorghum,2016,Kharif,6.09,0.45,0.32,237.4,12.2,209.1,0.45,1337.2,597.9
madurai,Black Clay Loam,Sorghum,2016,Summer,6.84,0.59,0.77,234.4,6.8,214.9,0.5,1329.9,669.0
coimbatore,Red Sandy Loam,Sorghum,2024,Summer,6.84,0.62,0.71,99.8,22.1,234.4,0.35,1326.3,470.0
madurai,Black Clay Loam,Cotton,2019,Rabi,6.77,0.51,0.87,281.4,15.5,262.9,2.48,505.4,1251.0
tirunelveli,Red Loam,Cotton,2022,Rabi,5.43,0.05,0.76,198.7,15.0,352.3,0.98,336.0,328.8
nilgiris,Lateritic Hill Soil,Rice,2015,Kharif,7.32,0.64,0.28,104.8,18.2,160.7,5.85,3179.2,18609.1
tirunelveli,Red Loam,Pulses,2020,Kharif,6.62,0.32,0.56,300.9,16.1,193.2,0.67,659.5,442.7
trichy,Black Cotton Soil,Sorghum,2015,Summer,7.36,0.29,0.64,215.9,22.5,323.8,3.42,1074.2,3674.6
vellore,Red Sandy Loam,Pulses,2018,Rabi,5.14,0.86,0.45,386.3,20.3,205.8,0.2,817.7,163.5
vellore,Red Sandy Loam,Millets,2022,Kharif,7.37,0.18,0.7,285.1,9.0,128.1,0.2,930.7,186.1
nagapattinam,Coastal Alluvial,Rice,2024,Rabi,7.49,0.39,0.6,160.9,21.0,239.2,3.88,3577.0,13865.2
kovilpatti,Red Sandy Loam,Cotton,2015,Rabi,6.88,0.42,0.65,331.3,18.6,230.1,1.09,472.4,517.2
nilgiris,Lateritic Hill Soil,Millets,2015,Kharif,7.5,0.45,0.1,310.6,16.6,158.5,2.38,1006.5,2398.7
nilgiris,Lateritic Hill Soil,Sugarcane,2016,Rabi,6.95,0.47,0.62,298.1,30.7,236.6,1.66,69557.5,115365.9
nagapattinam,Coastal Alluvial,Sorghum,2021,Kharif,6.82,0.48,0.53,181.5,18.1,343.0,0.83,1394.3,1155.2
coimbatore,Red Sandy Loam,Sugarcane,2020,Summer,6.49,0.05,0.72,159.6,23.0,175.3,0.31,72290.0,22507.3
krishnagiri,Red Loam,Cotton,2018,Rabi,7.47,0.35,0.62,260.2,21.2,160.6,0.29,418.9,119.4
nagapattinam,Coastal Alluvial,Cotton,2015,Summer,7.26,0.46,0.6,156.1,26.4,217.3,0.2,489.7,97.9
tirunelveli,Red Loam,Sugarcane,2020,Rabi,7.16,0.47,0.66,247.9,17.9,239.9,1.14,74445.6,84590.8
thanjavur,Alluvial Clay (Delta),Rice,2019,Summer,8.01,0.91,0.38,247.6,5.5,210.3,0.2,2661.0,532.2
nilgiris,Lateritic Hill Soil,Millets,2016,Summer,6.91,0.09,0.4,222.3,19.2,192.1,0.77,1095.7,842.3
madurai,Black Clay Loam,Cotton,2015,Rabi,5.89,0.35,0.53,255.9,16.6,292.9,0.3,434.8,128.8
nagapattinam,Coastal Alluvial,Millets,2023,Rabi,7.41,0.65,0.59,181.4,28.9,267.7,0.2,919.8,184.0
nilgiris,Lateritic Hill Soil,Cotton,2019,Rabi,7.29,0.5,0.36,267.1,22.7,168.0,0.61,464.6,283.9
trichy,Black Cotton Soil,Millets,2020,Rabi,6.51,0.87,0.56,167.9,16.0,142.1,5.15,969.7,4989.4
coimbatore,Red Sandy Loam,Cotton,2020,Rabi,6.54,0.54,0.42,246.6,24.6,154.4,0.76,388.7,293.8
nagapattinam,Coastal Alluvial,Sorghum,2022,Rabi,6.62,0.73,0.48,188.4,25.1,223.3,1.85,1301.3,2404.5
coimbatore,Red Sandy Loam,Cotton,2017,Rabi,6.6,0.87,0.5,350.0,13.9,81.8,0.65,441.5,287.6
trichy,Black Cotton Soil,Cotton,2016,Rabi,7.37,0.64,0.61,137.1,11.5,145.0,1.19,360.5,428.9
nagapattinam,Coastal Alluvial,Sorghum,2018,Rabi,6.04,0.6,0.66,253.8,25.1,217.1,5.45,1547.4,8430.5
krishnagiri,Red Loam,Pulses,2019,Kharif,6.48,0.61,0.71,271.2,16.3,231.4,1.51,746.8,1126.2
coimbatore,Red Sandy Loam,Millets,2020,Summer,6.77,0.35,0.43,310.9,17.7,210.1,0.33,1096.9,361.3
coimbatore,Red Sandy Loam,Sorghum,2016,Summer,5.94,0.41,0.34,299.6,21.5,195.0,0.32,1318.4,420.8
coimbatore,Red Sandy Loam,Sugarcane,2015,Kharif,6.67,0.66,0.62,279.0,14.7,272.1,1.01,65227.0,66136.4
tirunelveli,Red Loam,Cotton,2015,Summer,6.45,0.35,0.82,163.9,14.0,180.7,0.2,354.7,70.9
trichy,Black Cotton Soil,Cotton,2020,Kharif,6.19,0.59,0.73,235.3,19.4,68.7,0.79,432.7,342.5
vellore,Red Sandy Loam,Cotton,2018,Rabi,6.36,0.91,0.91,268.1,24.8,64.2,5.14,451.2,2320.5
tirunelveli,Red Loam,Sorghum,2018,Rabi,6.3,0.4,0.45,87.0,20.3,258.1,0.49,1434.6,700.1
nagapattinam,Coastal Alluvial,Millets,2019,Summer,5.8,0.32,0.53,323.4,11.5,257.7,1.37,1105.5,1517.4
nilgiris,Lateritic Hill Soil,Pulses,2023,Summer,5.61,0.49,0.22,246.5,21.9,207.4,1.81,712.5,1286.7
nilgiris,Lateritic Hill Soil,Sorghum,2020,Kharif,7.26,0.44,0.29,124.1,11.2,387.5,0.33,1250.5,415.6
krishnagiri,Red Loam,Sugarcane,2020,Kharif,6.67,0.57,0.1,195.6,23.2,136.6,1.88,57343.8,107717.1
kovilpatti,Red Sandy Loam,Sugarcane,2024,Rabi,6.54,0.68,0.45,241.7,19.0,190.6,2.62,73790.7,193355.2
tirunelveli,Red Loam,Cotton,2024,Kharif,7.34,0.5,0.48,259.8,21.6,306.1,1.89,451.0,852.7
thanjavur,Alluvial Clay (Delta),Cotton,2023,Kharif,7.12,0.41,0.48,196.5,3.0,161.3,0.2,418.1,83.6
tirunelveli,Red Loam,Sorghum,2020,Kharif,6.4,0.51,0.89,251.0,9.6,202.4,2.89,1304.6,3774.3
vellore,Red Sandy Loam,Rice,2022,Summer,6.3,0.57,0.52,342.6,25.0,209.3,2.22,3682.4,8173.2
krishnagiri,Red Loam,Cotton,2022,Kharif,7.0,0.63,0.66,171.6,28.2,346.3,3.76,431.6,1623.6
vellore,Red Sandy Loam,Rice,2019,Rabi,6.62,0.24,1.01,234.2,37.2,249.7,0.2,3172.0,634.4
krishnagiri,Red Loam,Cotton,2018,Rabi,6.14,0.39,0.68,226.0,15.8,254.7,3.24,448.3,1454.0
trichy,Black Cotton Soil,Pulses,2018,Kharif,7.79,0.12,0.55,207.4,17.9,300.3,1.45,737.8,1067.3
tirunelveli,Red Loam,Sugarcane,2024,Summer,6.44,0.52,0.47,273.3,23.2,246.6,3.96,64234.4,254253.3
vellore,Red Sandy Loam,Sugarcane,2021,Rabi,6.56,0.34,0.43,201.8,19.3,249.4,2.4,63629.7,153017.6
thanjavur,Alluvial Clay (Delta),Cotton,2015,Kharif,7.5,0.31,0.89,272.3,19.7,193.1,4.53,441.2,1998.8
madurai,Black Clay Loam,Sorghum,2015,Kharif,6.57,0.05,0.67,255.7,16.8,309.5,0.88,1345.4,1188.3
coimbatore,Red Sandy Loam,Sugarcane,2022,Kharif,6.0,0.33,0.1,175.4,11.2,119.8,2.24,60404.0,135012.6
thanjavur,Alluvial Clay (Delta),Sugarcane,2016,Kharif,6.6,0.31,0.32,223.2,12.8,220.9,0.2,57153.2,11430.6
trichy,Black Cotton Soil,Pulses,2020,Summer,6.88,0.5,0.59,143.7,25.8,259.0,9.52,664.5,6325.6
thanjavur,Alluvial Clay (Delta),Sugarcane,2016,Rabi,5.11,0.41,0.58,83.0,26.0,170.0,3.73,58172.6,217131.6
trichy,Black Cotton Soil,Sorghum,2016,Rabi,7.04,0.67,0.36,222.7,17.2,319.8,0.71,1242.6,885.6
madurai,Black Clay Loam,Pulses,2017,Rabi,7.1,0.51,0.31,225.3,13.9,92.2,2.25,747.6,1683.9
krishnagiri,Red Loam,Sugarcane,2016,Kharif,7.47,0.71,0.2,347.9,14.2,91.2,3.07,77050.9,236381.6
nagapattinam,Coastal Alluvial,Pulses,2020,Kharif,6.43,0.38,0.84,172.7,13.6,166.2,1.54,838.2,1289.9
tirunelveli,Red Loam,Millets,2020,Summer,7.0,0.86,0.44,172.6,14.8,186.6,0.39,1138.3,442.7
kovilpatti,Red Sandy Loam,Sugarcane,2023,Summer,7.86,0.59,0.76,145.8,12.4,320.1,2.0,67148.6,134490.9
